,State,Month,total_doses_day,total_samples_day,Projected Total Population,testing_rate,vaccination_rate,PHC,CHC,SDH,DH,Total,num_beds,total_hosp,hosp_per_capita,Hospital_Category,HDI,HDI_Category
0,Andaman and Nicobar Islands,1,2060.0,41497.0,417036,9.950459912333708,0.49396215194851284,27,4,,3,34,1246,34,8.152773381674484e-05,High,0.706,High
1,Andaman and Nicobar Islands,2,5929.0,45362.0,417036,10.877238415868176,1.4216998052925887,27,4,,3,34,1246,34,8.152773381674484e-05,High,0.706,High
2,Andaman and Nicobar Islands,3,16022.0,51365.0,417036,12.316682492638526,3.8418745623878996,27,4,,3,34,1246,34,8.152773381674484e-05,High,0.706,High
3,Andaman and Nicobar Islands,4,82436.0,51032.0,417036,12.236833270988596,19.767118426226993,27,4,,3,34,1246,34,8.152773381674484e-05,High,0.706,High
4,Andaman and Nicobar Islands,5,19894.0,15717.0,417036,3.7687393894052312,4.770331578089182,27,4,,3,34,1246,34,8.152773381674484e-05,High,0.706,High
5,Andaman and Nicobar Islands,6,52025.0,23277.0,417036,5.581532529565793,12.474942211223972,27,4,,3,34,1246,34,8.152773381674484e-05,High,0.706,High
6,Andaman and Nicobar Islands,7,122676.0,30980.0,417036,7.428615275419868,29.416165510891148,27,4,,3,34,1246,34,8.152773381674484e-05,High,0.706,High
7,Andaman and Nicobar Islands,8,11674.0,11717.0,417036,2.8095895797964685,2.799278719343174,27,4,,3,34,1246,34,8.152773381674484e-05,High,0.706,High
8,Andhra Pradesh,1,133623.0,1312306.0,53903393,2.4345517544693336,0.24789348603714056,1417,198,31,20,1666,60799,1666,3.0907145307160903e-05,Low,0.642,Low
9,Andhra Pradesh,2,540144.0,816259.0,53903393,1.5142998512171582,1.0020593694352413,1417,198,31,20,1666,60799,1666,3.0907145307160903e-05,Low,0.642,Low
10,Andhra Pradesh,3,2197188.0,1129048.0,53903393,2.094576866432137,4.076158990585249,1417,198,31,20,1666,60799,1666,3.0907145307160903e-05,Low,0.642,Low
11,Andhra Pradesh,4,3853865.0,1307181.0,53903393,2.425044004187269,7.149577764056522,1417,198,31,20,1666,60799,1666,3.0907145307160903e-05,Low,0.642,Low
12,Andhra Pradesh,5,3289713.0,2865944.0,53903393,5.316815585245256,6.102979454373123,1417,198,31,20,1666,60799,1666,3.0907145307160903e-05,Low,0.642,Low
13,Andhra Pradesh,6,5834607.0,2737314.0,53903393,5.0781849669463295,10.824192458534105,1417,198,31,20,1666,60799,1666,3.0907145307160903e-05,Low,0.642,Low
14,Andhra Pradesh,7,5966039.0,2569425.0,53903393,4.766722198730607,11.068021265377489,1417,198,31,20,1666,60799,1666,3.0907145307160903e-05,Low,0.642,Low
15,Andhra Pradesh,8,2173502.0,748690.0,53903393,1.388947816327629,4.032217415330423,1417,198,31,20,1666,60799,1666,3.0907145307160903e-05,Low,0.642,Low
16,Arunachal Pradesh,1,6525.0,14060.0,1570458,0.8952802303531836,0.4154838906866659,122,62,,15,199,2320,199,0.0001267146271979257,High,0.683,Medium
17,Arunachal Pradesh,2,26340.0,13593.0,1570458,0.8655436821615096,1.6772177288408858,122,62,,15,199,2320,199,0.0001267146271979257,High,0.683,Medium
18,Arunachal Pradesh,3,64375.0,8159.0,1570458,0.5195299715114954,4.099122676314808,122,62,,15,199,2320,199,0.0001267146271979257,High,0.683,Medium
19,Arunachal Pradesh,4,152629.0,39943.0,1570458,2.5433981679229882,9.718757203312665,122,62,,15,199,2320,199,0.0001267146271979257,High,0.683,Medium
20,Arunachal Pradesh,5,92584.0,131999.0,1570458,8.405127676130148,5.895350273614449,122,62,,15,199,2320,199,0.0001267146271979257,High,0.683,Medium
21,Arunachal Pradesh,6,259348.0,179985.0,1570458,11.460669435285757,16.51416338418474,122,62,,15,199,2320,199,0.0001267146271979257,High,0.683,Medium
22,Arunachal Pradesh,7,252245.0,173042.0,1570458,11.01856910531832,16.061874943487823,122,62,,15,199,2320,199,0.0001267146271979257,High,0.683,Medium
23,Arunachal Pradesh,8,33494.0,47349.0,1570458,3.0149803433138613,2.132753629832826,122,62,,15,199,2320,199,0.0001267146271979257,High,0.683,Medium
24,Assam,1,30688.0,468476.0,35607039,1.3156836770392506,0.08618520624531571,1007,166,14,33,1220,19115,1220,3.426288830138333e-05,Medium,0.615,Low
25,Assam,2,192446.0,384278.0,35607039,1.0792191959572939,0.540471787053116,1007,166,14,33,1220,19115,1220,3.426288830138333e-05,Medium,0.615,Low
26,Assam,3,898692.0,381195.0,35607039,1.0705607955775263,2.523916689618589,1007,166,14,33,1220,19115,1220,3.426288830138333e-05,Medium,0.615,Low
27,Assam,4,1382379.0,1373536.0,35607039,3.857484470977775,3.8823194481293433,1007,166,14,33,1220,19115,1220,3.426288830138333e-05,Medium,0.615,Low
28,Assam,5,1656919.0,2440767.0,35607039,6.854731728746105,4.653346772249161,1007,166,14,33,1220,19115,1220,3.426288830138333e-05,Medium,0.615,Low
29,Assam,6,2885269.0,3803089.0,35607039,10.68072242682128,8.10308602183967,1007,166,14,33,1220,19115,1220,3.426288830138333e-05,Medium,0.615,Low
30,Assam,7,3615325.0,3782319.0,35607039,10.622391263704909,10.153399725262188,1007,166,14,33,1220,19115,1220,3.426288830138333e-05,Medium,0.615,Low
31,Assam,8,2065623.0,1219757.0,35607039,3.425606380805773,5.801164764079372,1007,166,14,33,1220,19115,1220,3.426288830138333e-05,Medium,0.615,Low
32,Bihar,1,108889.0,2684928.0,124799926,2.151385891046121,0.08725085301733271,2007,63,33,43,2146,17796,2146,1.7195523016576148e-05,Low,0.577,Low
33,Bihar,2,528660.0,1412394.0,124799926,1.1317266325943174,0.4236060204074159,2007,63,33,43,2146,17796,2146,1.7195523016576148e-05,Low,0.577,Low
34,Bihar,3,2216130.0,1267426.0,124799926,1.015566307306945,1.7757462452341517,2007,63,33,43,2146,17796,2146,1.7195523016576148e-05,Low,0.577,Low
35,Bihar,4,4227882.0,2732420.0,124799926,2.189440400789981,3.3877279702874183,2007,63,33,43,2146,17796,2146,1.7195523016576148e-05,Low,0.577,Low
36,Bihar,5,3340108.0,3476706.0,124799926,2.7858237672352466,2.676370176693855,2007,63,33,43,2146,17796,2146,1.7195523016576148e-05,Low,0.577,Low
37,Bihar,6,5591422.0,3295508.0,124799926,2.640632976016348,4.480308746336917,2007,63,33,43,2146,17796,2146,1.7195523016576148e-05,Low,0.577,Low
38,Bihar,7,8543442.0,4145691.0,124799926,3.321869758159953,6.8457107899246665,2007,63,33,43,2146,17796,2146,1.7195523016576148e-05,Low,0.577,Low
39,Bihar,8,3392475.0,1468723.0,124799926,1.1768620760239874,2.718330938753922,2007,63,33,43,2146,17796,2146,1.7195523016576148e-05,Low,0.577,Low
40,Chandigarh,1,2217.0,35060.0,1158473,3.0263976803947954,0.19137260859769714,40,2,1,4,47,3756,47,4.057064774060336e-05,High,0.751,High
41,Chandigarh,2,16350.0,38187.0,1158473,3.296321968660469,1.411340618210351,40,2,1,4,47,3756,47,4.057064774060336e-05,High,0.751,High
42,Chandigarh,3,59882.0,57472.0,1158473,4.961013333931822,5.169045804261299,40,2,1,4,47,3756,47,4.057064774060336e-05,High,0.751,High
43,Chandigarh,4,130778.0,92710.0,1158473,8.002776068151784,11.28882589408644,40,2,1,4,47,3756,47,4.057064774060336e-05,High,0.751,High
44,Chandigarh,5,141018.0,103854.0,1158473,8.96473202223962,12.172748091668947,40,2,1,4,47,3756,47,4.057064774060336e-05,High,0.751,High
45,Chandigarh,6,177370.0,58703.0,1158473,5.06727390280136,15.310671893086846,40,2,1,4,47,3756,47,4.057064774060336e-05,High,0.751,High
46,Chandigarh,7,290267.0,46719.0,1158473,4.032808705943082,25.056000441961103,40,2,1,4,47,3756,47,4.057064774060336e-05,High,0.751,High
47,Chandigarh,8,106675.0,15169.0,1158473,1.3093960756961966,9.208242229210349,40,2,1,4,47,3756,47,4.057064774060336e-05,High,0.751,High
48,Chhattisgarh,1,57455.0,705597.0,29436231,2.3970358161681773,0.19518463488073592,813,166,12,32,1023,14354,1023,3.4753090502653004e-05,Medium,0.625,Low
49,Chhattisgarh,2,371018.0,591969.0,29436231,2.0110217235351904,1.2604127206366875,813,166,12,32,1023,14354,1023,3.4753090502653004e-05,Medium,0.625,Low
50,Chhattisgarh,3,1633179.0,945535.0,29436231,3.2121469627004897,5.548193313199642,813,166,12,32,1023,14354,1023,3.4753090502653004e-05,Medium,0.625,Low
51,Chhattisgarh,4,3592991.0,1448692.0,29436231,4.921458864757516,12.20601577695188,813,166,12,32,1023,14354,1023,3.4753090502653004e-05,Medium,0.625,Low
52,Chhattisgarh,5,669619.0,1918743.0,29436231,6.518303922808596,2.2748122882987296,813,166,12,32,1023,14354,1023,3.4753090502653004e-05,Medium,0.625,Low
53,Chhattisgarh,6,2212817.0,1224994.0,29436231,4.161517824751409,7.5173244835590545,813,166,12,32,1023,14354,1023,3.4753090502653004e-05,Medium,0.625,Low
54,Chhattisgarh,7,2500110.0,1043996.0,29436231,3.5466361165598954,8.493308807095582,813,166,12,32,1023,14354,1023,3.4753090502653004e-05,Medium,0.625,Low
55,Chhattisgarh,8,815722.0,367808.0,29436231,1.249507791945239,2.771149608113892,813,166,12,32,1023,14354,1023,3.4753090502653004e-05,Medium,0.625,Low
56,Delhi,1,44840.0,2081596.0,18710922,11.125031679358184,0.2396461275398401,534,25,9,47,615,20572,615,3.286850321967031e-05,Low,0.734,High
57,Delhi,2,361591.0,1639273.0,18710922,8.761048760718472,1.932512999626635,534,25,9,47,615,20572,615,3.286850321967031e-05,Low,0.734,High
58,Delhi,3,923763.0,2194963.0,18710922,11.730918444318243,4.937025551172733,534,25,9,47,615,20572,615,3.286850321967031e-05,Low,0.734,High
59,Delhi,4,1977893.0,2576123.0,18710922,13.768017417848249,10.570793892465588,534,25,9,47,615,20572,615,3.286850321967031e-05,Low,0.734,High
60,Delhi,5,2147391.0,2150495.0,18710922,11.493260460387788,11.476671219087976,534,25,9,47,615,20572,615,3.286850321967031e-05,Low,0.734,High
61,Delhi,6,2474193.0,2180824.0,18710922,11.65535295374541,13.223255379932642,534,25,9,47,615,20572,615,3.286850321967031e-05,Low,0.734,High
62,Delhi,7,2154106.0,2183133.0,18710922,11.667693339750976,11.5125593490262,534,25,9,47,615,20572,615,3.286850321967031e-05,Low,0.734,High
63,Delhi,8,788442.0,667669.0,18710922,3.5683383213291147,4.213806246426553,534,25,9,47,615,20572,615,3.286850321967031e-05,Low,0.734,High
64,Goa,1,3469.0,51470.0,1586250,3.244759653270292,0.21869188337273446,31,4,2,3,40,2666,40,2.52167060677699e-05,Low,0.76,High
65,Goa,2,19891.0,42691.0,1586250,2.6913159968479117,1.2539637509850277,31,4,2,3,40,2666,40,2.52167060677699e-05,Low,0.76,High
66,Goa,3,102920.0,51285.0,1586250,3.233096926713948,6.488258471237194,31,4,2,3,40,2666,40,2.52167060677699e-05,Low,0.76,High
67,Goa,4,227737.0,108164.0,1586250,6.818849487785658,14.356942474389284,31,4,2,3,40,2666,40,2.52167060677699e-05,Low,0.76,High
68,Goa,5,179237.0,170121.0,1586250,10.724728132387707,11.299416863672183,31,4,2,3,40,2666,40,2.52167060677699e-05,Low,0.76,High
69,Goa,6,405067.0,99323.0,1586250,6.261497241922774,25.536138691883377,31,4,2,3,40,2666,40,2.52167060677699e-05,Low,0.76,High
70,Goa,7,393079.0,133924.0,1586250,8.44280535855004,24.780394011032307,31,4,2,3,40,2666,40,2.52167060677699e-05,Low,0.76,High
71,Goa,8,69810.0,46290.0,1586250,2.918203309692671,4.400945626477541,31,4,2,3,40,2666,40,2.52167060677699e-05,Low,0.76,High
72,Gujarat,1,251338.0,1160891.0,63872399,1.817515888200786,0.39350017211659766,1770,385,44,37,2236,41129,2236,3.5007296344075004e-05,Medium,0.646,Medium
73,Gujarat,2,745064.0,926175.0,63872399,1.4500394763628652,1.1664882040832694,1770,385,44,37,2236,41129,2236,3.5007296344075004e-05,Medium,0.646,Medium
74,Gujarat,3,4866180.0,1757331.0,63872399,2.751315165099717,7.618595944705318,1770,385,44,37,2236,41129,2236,3.5007296344075004e-05,Medium,0.646,Medium
75,Gujarat,4,6802186.0,4542779.0,63872399,7.112272391710228,10.649648528153763,1770,385,44,37,2236,41129,2236,3.5007296344075004e-05,Medium,0.646,Medium
76,Gujarat,5,4652865.0,3719258.0,63872399,5.822950222990684,7.284625398209952,1770,385,44,37,2236,41129,2236,3.5007296344075004e-05,Medium,0.646,Medium
77,Gujarat,6,8581423.0,1931086.0,63872399,3.0233497257555646,13.435260197444595,1770,385,44,37,2236,41129,2236,3.5007296344075004e-05,Medium,0.646,Medium
78,Gujarat,7,7586838.0,1864591.0,63872399,2.919243725290481,11.878116555478055,1770,385,44,37,2236,41129,2236,3.5007296344075004e-05,Medium,0.646,Medium
79,Gujarat,8,3873495.0,637735.0,63872399,0.9984516160102269,6.064426983555134,1770,385,44,37,2236,41129,2236,3.5007296344075004e-05,Medium,0.646,Medium
80,Haryana,1,95245.0,618174.0,28204692,2.191741714463679,0.33769204074272463,500,131,24,28,683,13841,683,2.4215829054258063e-05,Low,0.696,Medium
81,Haryana,2,184936.0,497654.0,28204692,1.7644369241826858,0.6556923223979896,500,131,24,28,683,13841,683,2.4215829054258063e-05,Low,0.696,Medium
82,Haryana,3,1282683.0,586202.0,28204692,2.0783846886184754,4.54776460597407,500,131,24,28,683,13841,683,2.4215829054258063e-05,Low,0.696,Medium
83,Haryana,4,2241522.0,1138264.0,28204692,4.035725687059443,7.9473372728197145,500,131,24,28,683,13841,683,2.4215829054258063e-05,Low,0.696,Medium
84,Haryana,5,2130824.0,1655856.0,28204692,5.8708529772280444,7.554856475653058,500,131,24,28,683,13841,683,2.4215829054258063e-05,Low,0.696,Medium
85,Haryana,6,2967477.0,988861.0,28204692,3.5060159494030283,10.521217533593347,500,131,24,28,683,13841,683,2.4215829054258063e-05,Low,0.696,Medium
86,Haryana,7,2967350.0,834914.0,28204692,2.9601954171313056,10.520767253902294,500,131,24,28,683,13841,683,2.4215829054258063e-05,Low,0.696,Medium
87,Haryana,8,1186353.0,261474.0,28204692,0.9270585191995714,4.206225687555816,500,131,24,28,683,13841,683,2.4215829054258063e-05,Low,0.696,Medium
88,Himachal Pradesh,1,22798.0,159379.0,7451955,2.1387541926917164,0.3059331410348023,516,79,61,15,671,8706,671,9.004348523306971e-05,High,0.715,High
89,Himachal Pradesh,2,100618.0,163309.0,7451955,2.1914920312857498,1.350222860980776,516,79,61,15,671,8706,671,9.004348523306971e-05,High,0.715,High
90,Himachal Pradesh,3,444359.0,165803.0,7451955,2.2249597588820653,5.962985552113506,516,79,61,15,671,8706,671,9.004348523306971e-05,High,0.715,High
91,Himachal Pradesh,4,1256876.0,249056.0,7451955,3.3421565213423863,16.86639277880771,516,79,61,15,671,8706,671,9.004348523306971e-05,High,0.715,High
92,Himachal Pradesh,5,662916.0,412643.0,7451955,5.537379117292039,8.895866923512017,516,79,61,15,671,8706,671,9.004348523306971e-05,High,0.715,High
93,Himachal Pradesh,6,1410030.0,515943.0,7451955,6.923592533771339,18.921611845482158,516,79,61,15,671,8706,671,9.004348523306971e-05,High,0.715,High
94,Himachal Pradesh,7,1356404.0,396277.0,7451955,5.317758896826403,18.201988605674618,516,79,61,15,671,8706,671,9.004348523306971e-05,High,0.715,High
95,Himachal Pradesh,8,409750.0,127196.0,7451955,1.7068809460067862,5.498557090052207,516,79,61,15,671,8706,671,9.004348523306971e-05,High,0.715,High
96,Jammu and Kashmir,1,21268.0,721713.0,13606320,5.3042483198984005,0.15630971489719483,702,87,,29,818,11342,818,6.01191211143057e-05,High,0.72,High
97,Jammu and Kashmir,2,216807.0,657278.0,13606320,4.830681624421592,1.5934286419840193,702,87,,29,818,11342,818,6.01191211143057e-05,High,0.72,High
98,Jammu and Kashmir,3,555648.0,849922.0,13606320,6.2465236742925345,4.0837493164941,702,87,,29,818,11342,818,6.01191211143057e-05,High,0.72,High
99,Jammu and Kashmir,4,1558847.0,1216934.0,13606320,8.94388784035654,11.456786258150624,702,87,,29,818,11342,818,6.01191211143057e-05,High,0.72,High
100,Jammu and Kashmir,5,952953.0,1298638.0,13606320,9.544373497021972,7.003752667877869,702,87,,29,818,11342,818,6.01191211143057e-05,High,0.72,High
101,Jammu and Kashmir,6,1224533.0,1393519.0,13606320,10.241703855267257,8.999736886976052,702,87,,29,818,11342,818,6.01191211143057e-05,High,0.72,High
102,Jammu and Kashmir,7,1689805.0,1758298.0,13606320,12.92265653020067,12.419265458992585,702,87,,29,818,11342,818,6.01191211143057e-05,High,0.72,High
103,Jammu and Kashmir,8,593002.0,588590.0,13606320,4.32585739568083,4.358283503548352,702,87,,29,818,11342,818,6.01191211143057e-05,High,0.72,High
104,Jharkhand,1,31672.0,417879.0,38593948,1.08275784586744,0.0820646801928634,343,179,13,23,558,7404,558,1.445822541917712e-05,Low,0.6,Low
105,Jharkhand,2,281766.0,311395.0,38593948,0.8068493018646342,0.7300781977526631,343,179,13,23,558,7404,558,1.445822541917712e-05,Low,0.6,Low
106,Jharkhand,3,1387979.0,352834.0,38593948,0.914221058700706,3.5963643833483947,343,179,13,23,558,7404,558,1.445822541917712e-05,Low,0.6,Low
107,Jharkhand,4,1453169.0,1040061.0,38593948,2.6948810730635797,3.7652768770896414,343,179,13,23,558,7404,558,1.445822541917712e-05,Low,0.6,Low
108,Jharkhand,5,1080227.0,1569707.0,38593948,4.067236137645208,2.798954385283413,343,179,13,23,558,7404,558,1.445822541917712e-05,Low,0.6,Low
109,Jharkhand,6,2659790.0,1492697.0,38593948,3.8676970803816184,6.891728205676186,343,179,13,23,558,7404,558,1.445822541917712e-05,Low,0.6,Low
110,Jharkhand,7,2735622.0,1677444.0,38593948,4.346391304667768,7.088214970906838,343,179,13,23,558,7404,558,1.445822541917712e-05,Low,0.6,Low
111,Jharkhand,8,788530.0,523232.0,38593948,1.3557358785890472,2.0431441737963683,343,179,13,23,558,7404,558,1.445822541917712e-05,Low,0.6,Low
112,Karnataka,1,247613.0,2955772.0,67562686,4.374858631286506,0.3664937181449536,2547,207,147,42,2943,56333,2943,4.3559547055308016e-05,High,0.673,Medium
113,Karnataka,2,607779.0,1762845.0,67562686,2.609199107329747,0.8995779119853229,2547,207,147,42,2943,56333,2943,4.3559547055308016e-05,High,0.673,Medium
114,Karnataka,3,3324624.0,2614451.0,67562686,3.869667052609483,4.920799033951965,2547,207,147,42,2943,56333,2943,4.3559547055308016e-05,High,0.673,Medium
115,Karnataka,4,5690224.0,4185765.0,67562686,6.195379798843403,8.42213999603272,2547,207,147,42,2943,56333,2943,4.3559547055308016e-05,High,0.673,Medium
116,Karnataka,5,4040951.0,4139969.0,67562686,6.127596821713098,5.981039593363709,2547,207,147,42,2943,56333,2943,4.3559547055308016e-05,High,0.673,Medium
117,Karnataka,6,9029024.0,4532767.0,67562686,6.708979865010104,13.363921025875142,2547,207,147,42,2943,56333,2943,4.3559547055308016e-05,High,0.673,Medium
118,Karnataka,7,7658800.0,4379771.0,67562686,6.482529424599845,11.335842982915155,2547,207,147,42,2943,56333,2943,4.3559547055308016e-05,High,0.673,Medium
119,Karnataka,8,2909329.0,1455417.0,67562686,2.154172792952607,4.306118024970173,2547,207,147,42,2943,56333,2943,4.3559547055308016e-05,High,0.673,Medium
120,Kerala,1,140906.0,1713979.0,35699443,4.801136533138626,0.3947008360886751,933,229,82,53,1297,39511,1297,3.633109905944471e-05,Medium,0.758,High
121,Kerala,2,452427.0,1850371.0,35699443,5.183192914242388,1.2673222940761288,933,229,82,53,1297,39511,1297,3.633109905944471e-05,Medium,0.758,High
122,Kerala,3,3101944.0,1682580.0,35699443,4.7131827799106,8.689054336225919,933,229,82,53,1297,39511,1297,3.633109905944471e-05,Medium,0.758,High
123,Kerala,4,3802077.0,2640660.0,35699443,7.39692213125006,10.650241797890237,933,229,82,53,1297,39511,1297,3.633109905944471e-05,Medium,0.758,High
124,Kerala,5,2036789.0,3996404.0,35699443,11.194583624175873,5.7053803332449755,933,229,82,53,1297,39511,1297,3.633109905944471e-05,Medium,0.758,High
125,Kerala,6,4682003.0,3277741.0,35699443,9.18149059076356,13.115058966046053,933,229,82,53,1297,39511,1297,3.633109905944471e-05,Medium,0.758,High
126,Kerala,7,6069374.0,4143341.0,35699443,11.606178281268981,17.001312877626688,933,229,82,53,1297,39511,1297,3.633109905944471e-05,Medium,0.758,High
127,Kerala,8,1932631.0,1528535.0,35699443,4.281677448020687,5.413616677436676,933,229,82,53,1297,39511,1297,3.633109905944471e-05,Medium,0.758,High
128,Lakshadweep,1,807.0,2328.0,73183,3.181066641159832,1.1027151114329832,4,3,2,1,10,250,10,0.00013664375606356667,High,0.719,High
129,Lakshadweep,2,1124.0,28879.0,73183,39.46135031359742,1.5358758181544894,4,3,2,1,10,250,10,0.00013664375606356667,High,0.719,High
130,Lakshadweep,3,5536.0,17270.0,73183,23.598376672177963,7.564598335679051,4,3,2,1,10,250,10,0.00013664375606356667,High,0.719,High
131,Lakshadweep,4,16200.0,27236.0,73183,37.216293401473024,22.1362884822978,4,3,2,1,10,250,10,0.00013664375606356667,High,0.719,High
132,Lakshadweep,5,10612.0,58903.0,73183,80.48727163412268,14.500635393465696,4,3,2,1,10,250,10,0.00013664375606356667,High,0.719,High
133,Lakshadweep,6,21064.0,47125.0,73183,64.3933700449558,28.782640777229684,4,3,2,1,10,250,10,0.00013664375606356667,High,0.719,High
134,Lakshadweep,7,11509.0,36208.0,73183,49.47597119549622,15.726329885355888,4,3,2,1,10,250,10,0.00013664375606356667,High,0.719,High
